group,variant,epoch,base_dataset,run_name,valid_generated,num_prompts,valid_generated / 305,generated_running,generated_walking,parse_success,duplicate_ratio,ED,DTW,SHR,MDD,ACD,SD,KD,real_baseline_ED,real_baseline_DTW,ED_vs_real_baseline,DTW_vs_real_baseline,real_only_acc,synthetic_only_acc,real_plus_synthetic_acc,real_only_macro_f1,synthetic_only_macro_f1,real_plus_synthetic_macro_f1
stats_prompt,hand_stats_ep10,10epoch,hand,gemma_2act_hand_stats_ep10,261,305,261/305,107,154,305,0.0,102.59970106128776,4450.815669033011,21.42132681507628,0.068667925719985,1.0892607211102647,0.7011489594323329,2.58176600032078,46.65707015991211,61.03399825384258,2.1990172273920816,72.92354747139306,0.9770491803278688,0.8459016393442623,0.9704918032786886,0.9753535353535354,0.8437244491927307,0.9684268641952588
stats_prompt,hand_stats_ep20,20epoch,hand,gemma_2act_hand_stats_ep20,284,305,284/305,104,180,305,0.0,103.15824347791764,4427.679061903923,23.09940055149076,0.0626580258081375,1.1168962155012114,0.5675362749500834,2.2043505353401893,46.65707015991211,61.03399825384258,2.2109884552191943,72.54447010810348,0.9770491803278688,0.921311475409836,0.9573770491803278,0.9753535353535354,0.9186666666666669,0.9547110760831076
stats_prompt,chest_gyro_stats,5epoch,chest_gyro,gemma_2act_chest_gyro_stats,283,305,283/305,112,171,305,0.0,10.742923782739256,230.31517536348707,0.7180749492468765,0.3459901154149617,1.8560447548795944,0.4934765547772121,1.7522951104338622,3.209659069776535,7.467673591416921,3.3470607155442234,30.84162323701496,0.9639344262295082,0.4491803278688525,0.9540983606557376,0.9611244365650456,0.4116836594103058,0.9504272313550663
stats_prompt,chest_gyro_stats_ep10,10epoch,chest_gyro,gemma_2act_chest_gyro_stats_ep10,303,305,303/305,115,188,305,0.0,10.487112729866867,223.4010295097016,0.7465345622813517,0.349143007899109,1.8438018963236216,0.582121414749462,2.4116247479346,3.209659069776535,7.467673591416921,3.267360333880261,29.91574642020653,0.9639344262295082,0.3737704918032787,0.9573770491803278,0.9611244365650456,0.2983438723276121,0.9538787237259942
stats_prompt,chest_gyro_stats_ep20,20epoch,chest_gyro,gemma_2act_chest_gyro_stats_ep20,271,305,271/305,84,187,279,0.0,11.672715569048057,247.40680085510843,1.1567537944837605,0.3071565036348068,1.8639466380653216,0.5085510149193232,1.5663013090675824,3.209659069776535,7.467673591416921,3.6367462447844163,33.13037157106987,0.9639344262295082,0.5639344262295082,0.9573770491803278,0.9611244365650456,0.5537845537845538,0.9538787237259942
stats_prompt,chest_stats_ep5,5epoch,chest,gemma_2act_chest_stats_ep5,270,305,270/305,107,163,305,0.0,44.525435533966416,1561.8158744114492,22.17963945582489,0.2031295465285021,1.7868104003165357,0.6061601428684655,2.023881428603341,27.801892280578613,31.83278213569489,1.6015253596630277,49.06312831074059,0.9639344262295082,0.3704918032786885,0.9672131147540984,0.9608193485851756,0.292958562735439,0.9644522144522144
stats_prompt,chest_stats_ep10,10epoch,chest,gemma_2act_chest_stats_ep10,303,305,303/305,114,189,305,0.0,48.460031940422034,1656.2288650314674,25.77363437361613,0.1713804251018436,2.028953857619096,0.6460783626936927,1.7297307799032375,27.801892280578613,31.83278213569489,1.743047971388424,52.029032774182085,0.9639344262295082,0.3704918032786885,0.9639344262295082,0.9608193485851756,0.2858536585365854,0.9608193485851756
stats_prompt,chest_stats_ep20,20epoch,chest,gemma_2act_chest_stats_ep20,222,305,222/305,98,124,305,0.0,46.85771100775359,1554.5036796561203,30.17494889891442,0.1857648812068466,1.796005280124526,0.5863700131081009,1.9895491630340836,27.801892280578613,31.83278213569489,1.685414450745379,48.83342188030171,0.9639344262295082,0.3737704918032787,0.9672131147540984,0.9608193485851756,0.3016746382805289,0.9644522144522144
stats_prompt,chest_acc_stats_ep5,5epoch,chest_acc,gemma_2act_chest_acc_stats_ep5,280,305,280/305,101,179,305,0.0,76.49746536942992,1716.9717543475458,66.6138605429378,0.0652440342282891,2.0195248233303573,0.818758166669975,1.9771742218285824,27.61069393157959,56.19789067997287,2.7705738058954155,30.55224553044336,0.9672131147540984,0.3704918032786885,0.9672131147540984,0.9644522144522144,0.2963568201480342,0.9644522144522144
stats_prompt,chest_acc_stats_ep10,10epoch,chest_acc,gemma_2act_chest_acc_stats_ep10,284,305,284/305,100,184,305,0.0,77.76916537389158,1554.4494792167543,83.527639543235,0.0608425044829975,1.888214370253423,0.5822898071721702,0.916852150584334,27.61069393157959,56.19789067997287,2.8166320472280306,27.660281558765163,0.9672131147540984,0.4754098360655737,0.9672131147540984,0.9644522144522144,0.4488117827776272,0.9644522144522144
