candidate_id,missing_numeric_fields,missing_columns,parsed_numeric_fields,filter_reason
396,1,['value_35'],35,missing_fields
397,0,[],36,kept
398,0,[],36,kept
399,0,[],36,kept
400,2,"['value_34', 'value_35']",34,missing_fields
401,5,"['value_31', 'value_32', 'value_33', 'value_34', 'value_35']",31,missing_fields
402,0,[],36,kept
403,1,['value_35'],35,missing_fields
404,0,[],36,kept
405,1,['value_35'],35,missing_fields
406,0,[],36,kept
407,0,[],36,kept
408,0,[],36,kept
409,0,[],36,kept
410,0,[],36,kept
411,1,['value_35'],35,missing_fields
412,0,[],36,kept
413,0,[],36,kept
414,20,"['value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",16,missing_fields
415,2,"['value_34', 'value_35']",34,missing_fields
416,1,['value_35'],35,missing_fields
417,0,[],36,kept
418,0,[],36,kept
419,0,[],36,kept
420,35,"['value_1', 'value_2', 'value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",1,missing_fields
421,0,[],36,kept
422,0,[],36,kept
423,0,[],36,kept
424,1,['value_35'],35,missing_fields
425,0,[],36,kept
426,32,"['value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",4,missing_fields
427,0,[],36,kept
428,2,"['value_34', 'value_35']",34,missing_fields
429,0,[],36,kept
430,1,['value_35'],35,missing_fields
431,1,['value_35'],35,missing_fields
432,0,[],36,kept
433,0,[],36,kept
434,1,['value_35'],35,missing_fields
435,0,[],36,kept
436,1,['value_35'],35,missing_fields
437,1,['value_35'],35,missing_fields
438,0,[],36,kept
439,1,['value_35'],35,missing_fields
440,0,[],36,kept
441,0,[],36,kept
442,1,['value_35'],35,missing_fields
443,0,[],36,kept
444,0,[],36,kept
445,33,"['value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",3,missing_fields
446,0,[],36,kept
447,1,['value_35'],35,missing_fields
448,0,[],36,kept
449,0,[],36,kept
450,1,['value_35'],35,missing_fields
451,1,['value_35'],35,missing_fields
452,16,"['value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",20,missing_fields
453,1,['value_35'],35,missing_fields
454,0,[],36,kept
455,35,"['value_1', 'value_2', 'value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",1,missing_fields
456,0,[],36,kept
457,0,[],36,kept
458,7,"['value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",29,missing_fields
459,1,['value_35'],35,missing_fields
460,1,['value_35'],35,missing_fields
461,0,[],36,kept
462,0,[],36,kept
