generated_index,candidate_id,prompt_window_id,real_index,activity_name,chest_gyro_x_mean_zerr,chest_gyro_x_std_relerr,chest_gyro_x_range_zerr,chest_gyro_x_stats_score,chest_gyro_y_mean_zerr,chest_gyro_y_std_relerr,chest_gyro_y_range_zerr,chest_gyro_y_stats_score,chest_gyro_z_mean_zerr,chest_gyro_z_std_relerr,chest_gyro_z_range_zerr,chest_gyro_z_stats_score,mean_zerr_avg,std_relerr_avg,range_zerr_avg,stats_score,max_channel_stats_score
111,112,5533,112,walking,0.09803114585709155,0.3927140779662552,1.036158176890591,0.4035297249074569,0.17440074478806897,2.021571416496824,3.6954389985510923,1.6174766642241758,0.1379002059653679,0.013866307572548408,0.21416921126916544,0.10354044766899961,0.1367773655368428,0.8093839340118758,1.648588795570283,0.7081822789335441,1.6174766642241758
112,113,5534,113,walking,0.07920258737316258,0.37124312551398037,1.3833863383845277,0.4568555528317627,0.7522525960529173,0.9999478717108031,1.3434818709218825,0.9695765612898647,0.019281171310960864,0.037775533651214784,0.43871919158237427,0.11056652030134512,0.2835787849123469,0.4696555102919995,1.0551958002962614,0.5123328781409908,0.9695765612898647
113,114,5535,114,walking,0.1574540524491334,0.01912430477486612,1.0805132655890837,0.28673399600741656,0.16025265017743867,2.0268171820977723,3.5956199353792853,1.5939519199859415,0.009104519936859803,0.1592394754242043,0.52568111745853,0.17247382163613165,0.10893707418781062,0.7350603207656142,1.7339381061422996,0.6843865792098299,1.5939519199859415
114,115,5536,115,walking,0.11417995356783575,0.73759012562888,2.239345086350733,0.788577048948833,0.05856138002473626,0.1469197667664312,0.8885975650695176,0.2599119717303705,0.09925084054852143,0.3237515863699791,0.7249368734848805,0.3141883454643763,0.09066405804703115,0.40275382625509676,1.284293174968377,0.45422578871452657,0.788577048948833
115,116,5537,116,walking,0.1849267974427219,0.5830403769620552,1.4571823730446778,0.5986233443708464,0.03843699435393016,0.033573865890502895,0.6853982834021252,0.16588400077819826,0.10423254537675167,0.3574029044882333,1.0586993091301231,0.39639404177201865,0.10919877905780125,0.3246723824469305,1.0670933218589753,0.3869671289736878,0.5986233443708464
116,117,5538,117,walking,0.004748899163338389,0.09371325395403109,0.9932621125757259,0.238037283762093,0.2927383086644113,3.00669127702713,4.8834052085876465,2.296452875994146,0.03724445873936906,0.3748613028480603,0.8084212766287806,0.3265265599607279,0.11157722218903958,1.1584219446097406,2.2283628659307175,0.9536722399056556,2.296452875994146
117,118,5539,118,walking,0.14497231926899473,0.26759041700845565,0.7383819832412185,0.31270149115922385,0.6003080591177329,0.8750575617847278,1.2751895698726685,0.8451841623355181,0.1462888257679832,0.9237546675458215,1.6284994519408493,0.7537172877136917,0.29718973471823695,0.6888008821130017,1.2140236683515788,0.6372009804028113,0.8451841623355181
118,119,5540,119,walking,0.17350001332409884,0.9498271953075303,1.6815449918082002,0.7856398818142918,0.4910866233863329,3.6492211128536023,5.736677762709165,2.8034586470378073,0.058405784800791505,0.03119063301208301,0.24359966162294625,0.08455849944973906,0.2409974738370744,1.543412980391072,2.5539408053801043,1.2245523427672795,2.8034586470378073
119,120,5541,120,walking,0.17801480376443196,1.2943017094634302,2.1137290333592613,1.0116724119629972,0.8930331361650232,2.5482827215099655,3.9187140068738566,2.160269144444767,0.3241220978895823,0.7126564184824626,1.075825668970744,0.6298765403429668,0.4650566792730125,1.518413616485286,2.369422903067954,1.26727269891691,2.160269144444767
120,121,5542,121,walking,0.11180599216582641,1.2621299579458418,2.0939242120059034,0.9683592224458482,0.12294064414986658,1.3120808925024525,1.7705259431001827,0.9281138032809643,0.1614661332473014,0.03254032520800346,0.3882689140375378,0.1552563661896295,0.1320709231876648,0.8689170585520993,1.4175730230478747,0.6839097973054806,0.9683592224458482
